apiadmin,120.77.238.234,10.81.248.136
WEB-IIS8,120.77.238.223,10.81.248.81
NodeJSServer,120.77.238.216,10.29.71.4
ELK,120.76.202.34,10.26.2.56
JobsServer,120.77.238.212,10.81.248.6
JenkinsServer,120.76.30.23,10.25.203.203
WEB-IIS4,120.77.238.185,10.29.71.198
WEB_IIS5,119.23.129.201,10.29.58.130
WEB_IIS6,120.76.213.75,10.30.220.249
Web_IIS1,120.76.215.187,10.29.56.176
DB_MYSQL3,120.78.228.13,10.80.241.174
DB_MYSQL4,120.78.228.132,10.80.241.106
Web_IIS3,119.23.138.177,10.29.58.219
NgServer2,119.23.162.173,10.30.222.179
NgServer1,119.23.162.139,10.30.222.160
BIServer,120.77.70.105,10.27.202.84
DB_MYSQL2,120.76.47.217,10.81.248.22
DB_MYSQL1,120.77.69.56,10.81.248.40
Mike_Mail,39.108.54.231,10.0.0.173
DB_MongoDB,119.23.152.25,10.30.208.234
Web_IIS2,120.77.64.128,10.27.197.214
DB_SqlServer_BAK,119.23.154.70,10.29.71.193
桌面付,120.77.0.149,10.26.217.123
RabbitMQ2,119.23.129.237,10.27.171.35
Redis_Slave,120.76.55.227,10.81.248.18
Redis_Master,119.23.152.26,10.29.70.94
预发服务器Linux,119.23.144.105,10.29.248.64
打印测试,120.24.82.155,10.169.111.63
DB_SqlServer2,120.76.203.174,10.26.0.49
DB_SqlServer1,120.76.157.49,10.24.251.162
RabbitMQ1,120.25.91.138,10.24.205.212
预发服务器Windows,112.74.18.94,10.169.132.63
NgServer3,120.24.240.109,10.30.221.69
JiLiServer,120.25.147.35,10.116.139.83
